ADDMOD,NVIC,VEHCAT,COMPANY,EFFECTIVEDATE,CHANGETIMESTAMP,EFFECTIVEENDDATE,ENDDATETIMESTAMP,ACCEPTCRIT,INTERNETJEP
ADD,01F624,BK,AAMI,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,Y
ADD,05F625,BK,AAMI,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,01F624,BK,AMP,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,05F625,BK,AMP,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,Y
ADD,01F624,BK,APIA,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,05F625,BK,APIA,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,01F624,BK,GIO,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,05F625,BK,GIO,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,01F624,BK,SHANNONS,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,05F625,BK,SHANNONS,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,N
ADD,01F624,BK,SUNCORP,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,05F625,BK,SUNCORP,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,02F623,CI,GIOCI,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,09F622,CI,GIOCI,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,07F620,GU,AAMI,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,N
ADD,08F621,GU,AAMI,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,Y
ADD,07F620,GU,AMP,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,08F621,GU,AMP,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,N
ADD,07F620,GU,APIA,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,Y
ADD,08F621,GU,APIA,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,N
ADD,07F620,GU,BINGLE,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,N
ADD,08F621,GU,BINGLE,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,07F620,GU,ESSENTIALS,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,08F621,GU,ESSENTIALS,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,07F620,GU,GIO,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,08F621,GU,GIO,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,Y
ADD,07F620,GU,GIOCI,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,08F621,GU,GIOCI,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,07F620,GU,JCI,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,Y
ADD,08F621,GU,JCI,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,N
ADD,07F620,GU,SHANNONS,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,08F621,GU,SHANNONS,20180801,20180801000000,99991231,99991231000000,UNCEPTABLE,N
ADD,07F620,GU,SUNCORP,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,08F621,GU,SUNCORP,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,07F620,GU,VERO3,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,08F621,GU,VERO3,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,07F620,GU,VERO5,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
ADD,08F621,GU,VERO5,20180801,20180801000000,99991231,99991231000000,ACCEPTABLE,N
